Question,Answer
Who approves a requisition under $10K?,"For requisitions under $10000 only the Supervisor/Manager approval is required. SLA: 1 business day."
Who approves a $75K requisition?,"For a $75000 requisition the routing is: 1. Supervisor/Manager 2. Department Head (required above $10K) 3. Finance Controller (required above $50K). The CPO threshold of $250K is not triggered. SLA: 2 business days."
Who approves a requisition over $250K?,"For requisitions over $250000 the routing is: 1. Supervisor/Manager 2. Department Head 3. Finance Controller 4. CPO/Procurement Director. SLA: 3-5 business days."
When is the CPO required?,"The CPO is required when: the requisition exceeds $250000, any sole-source justification is filed, an emergency procurement is declared, or contract value exceeds $500000."
When is the Finance Controller required?,"The Finance Controller is required for all requisitions valued at $50000 or above."
When is the Department Head required?,"The Department Head is required for all requisitions valued at $10000 or above."
What are contract approval timelines?,"Contract approval timelines: Under $500K requires Legal Counsel and Procurement Director review (5-7 days). $500K to $1M adds CFO approval (7-10 days). Above $1M requires board ratification (10+ days)."
What are sole-source approval requirements?,"Sole-source approval requires: 1. Written justification attached to the requisition 2. Requesting Manager sign-off 3. Legal Counsel review 4. CPO final approval. SLA: 5 business days."
What triggers ICA routing?,"Interagency Agreement (ICA) approval steps: 1. Agency Procurement Lead 2. Receiving Agency Head 3. State Central Procurement office. A signed MOU must be on file before routing begins. SLA: 3-7 business days."
What is the emergency procurement process?,"Emergency procurement requires: 1. Emergency declaration signed by Department Head 2. Expedited Supervisor approval 3. CPO authorization 4. Post-award ratification within 30 days. SLA: 24-48 hours for initial approval."
What documents are required for a requisition?,"Standard requisition documents include: completed requisition form, budget confirmation, vendor quote or justification, and supervisor sign-off. Sole-source requires an additional written justification. Contracts above $500K require Legal Counsel review."
What is the SLA for requisition approvals?,"Standard SLA by tier: under $10K is 1 business day, $10K-$50K is 2 business days, $50K-$250K is 3 business days, over $250K is 5 business days. Emergency procurement is 24-48 hours."
What are the approval thresholds?,"Approval thresholds: $10K triggers Department Head, $50K triggers Finance Controller, $250K triggers CPO/Procurement Director, $500K triggers CFO and Legal Counsel, over $1M triggers board ratification."
What is purchase order approval routing?,"Purchase order approval follows the same dollar thresholds as requisitions. Additionally, the Buyer must verify supplier, contract compliance, and pricing before PO creation. The Procurement Director reviews all POs above $250K."
What triggers legal counsel review?,"Legal Counsel review is required for: all contracts regardless of value, sole-source procurements, interagency agreements (ICA), and any requisition with unusual terms or liability exposure."
What is the difference between a requisition and a purchase order?,"A requisition is an internal request to purchase goods or services. Once approved, it is converted into a Purchase Order (PO) by a Buyer. The PO is the official document sent to the vendor. Requisitions require internal approvals; POs require procurement compliance checks."
How do I route an interagency agreement?,"For an Interagency Agreement (ICA): submit the request with a draft MOU, route to Agency Procurement Lead for review, then to the Receiving Agency Head, then to State Central Procurement for final sign-off. Ensure the MOU is fully executed before work begins."
What happens if a requisition exceeds the approved budget?,"If a requisition exceeds the approved budget, it must be returned to the requester for budget reallocation. A budget amendment must be signed by the Finance Controller before the requisition can be resubmitted for approval."
Can approvals be delegated?,"Yes, approval authority can be delegated during absences. The delegating approver must submit a formal delegation notice to Procurement. Delegated approvals are logged and auditable. Delegation cannot exceed the delegator's own authority level."
What is the reapproval policy for modified requisitions?,"Reapproval is required when: the total value increases by more than 10% or $5000 (whichever is less), the vendor changes, the scope of work changes materially, or the funding source changes. Minor administrative changes do not require reapproval."
